lr,hidden_sizes,dropout_rate,best_val_loss,best_epoch
0.001,"[128, 64]",0.2,8120.9516867746825,3
0.001,"[128, 64]",0.3,8276.80630887278,3
0.001,"[64, 32]",0.2,8172.2675390174445,7
0.001,"[64, 32]",0.3,8374.215212416275,7
0.0005,"[128, 64]",0.2,8040.161281970575,4
0.0005,"[128, 64]",0.3,8171.699514971455,3
0.0005,"[64, 32]",0.2,8188.719203758309,10
0.0005,"[64, 32]",0.3,8202.551341719174,9
0.0001,"[128, 64]",0.2,7940.157969902477,15
0.0001,"[128, 64]",0.3,7966.625205082472,14
0.0001,"[64, 32]",0.2,7903.463192498179,23
0.0001,"[64, 32]",0.3,8108.349320030467,10
